start_x,start_y,end_x,end_y
-27,17,-27,13
-27,13,-25,13
-25,13,-25,17
-25,17,-27,17
-27,24,-27,20
-27,20,-25,20
-25,20,-25,24
-25,24,-27,24
4,29,4,34
4,34,5,34
5,34,5,38
5,38,8,38
8,38,8,34
8,34,9,34
9,34,9,29
9,29,4,29
14,29,14,34
14,34,15,34
15,34,15,38
15,38,18,38
18,38,18,34
18,34,19,34
19,34,19,29
19,29,14,29
25,17,25,13
25,13,27,13
27,13,27,17
27,17,25,17
-25,-25,-25,25
-25,25,25,25
25,25,25,-25
25,-25,17,-25
17,-25,17,-21
17,-21,15,-21
15,-21,15,-25
15,-25,12,-25
12,-25,12,-23
12,-23,-12,-23
-12,-23,-12,-25
-12,-25,-15,-25
-15,-25,-15,-21
-15,-21,-17,-21
-17,-21,-17,-25
-17,-25,-25,-25
-23,25,-23,29
-23,29,23,29
23,29,23,25
23,25,-23,25
-16,29,-16,34
-16,34,-15,34
-15,34,-15,38
-15,38,-12,38
-12,38,-12,34
-12,34,-11,34
-11,34,-11,29
-11,29,-16,29
-6,29,-6,34
-6,34,-5,34
-5,34,-5,38
-5,38,-2,38
-2,38,-2,34
-2,34,-1,34
-1,34,-1,29
-1,29,-6,29
-29.4488,3,-26.4488,3
-26,-25,-25,-25
26.5512,3,29.5512,3
25,24,27,24
27,24,27,20
-15,34,-12,34
-6,34,-1,34
-2,25,-2,17
-2,17,0,15
0,15,0,3
0,3,-2,1
-2,1,-2,-13
-2,-13,0,-15
0,-15,0,-23
0,25,0,17
0,17,2,15
2,15,2,3
2,3,0,1
0,1,0,-13
0,-13,2,-15
2,-15,2,-23
4,34,9,34
9,34,9,33
15,34,20,34
26.4488,-25,23,-25
